Dataset,Prediction Length,MSE,MAE,model,source,model_source
ETTm1,96,0.288,0.343,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
ETTm1,192,0.326,0.367,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
ETTm1,336,0.365,0.391,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
ETTm1,720,0.412,0.413,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
ETTm1,Avg,0.348,0.379,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
ETTm2,96,0.161,0.254,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
ETTm2,192,0.22,0.293,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
ETTm2,336,0.272,0.316,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
ETTm2,720,0.349,0.379,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
ETTm2,Avg,0.251,0.311,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
ETTh1,96,0.371,0.408,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
ETTh1,192,0.398,0.409,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
ETTh1,336,0.401,0.409,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
ETTh1,720,0.458,0.459,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
ETTh1,Avg,0.407,0.421,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
ETTh2,96,0.263,0.329,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
ETTh2,192,0.319,0.372,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
ETTh2,336,0.311,0.373,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
ETTh2,720,0.401,0.434,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
ETTh2,Avg,0.324,0.377,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
Electricity,96,0.142,0.223,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
Electricity,192,0.165,0.241,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
Electricity,336,0.164,0.269,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
Electricity,720,0.19,0.284,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
Electricity,Avg,0.165,0.254,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
Weather,96,0.147,0.198,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
Weather,192,0.194,0.238,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
Weather,336,0.235,0.277,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
Weather,720,0.308,0.331,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
Weather,Avg,0.221,0.261,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
Traffic,96,0.367,0.252,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
Traffic,192,0.381,0.262,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
Traffic,336,0.395,0.268,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
Traffic,720,0.442,0.29,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
Traffic,Avg,0.396,0.268,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
Exchange,96,0.08,0.195,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
Exchange,192,0.163,0.285,TVNet,li2025_tvnet,TVNet (li2025_tvnet)
